Sample Number,Name,Depth From,Depth To,X,Y,Z,Length,Al2O3,Fe,Fe (raw + gaussian),final lithology,final lithology-sel[Rich ore],final lithology-sel[Poor ore],Indicator rich ore,Mn,P,SiO2
1,Line#1,0,19.15,1400.00,-195.00,794.63,19.15,1.16,66.18,-0.24,Rich ore,1,0,1.00,0.11,0.11,0.53
2,Line#1,19.15,40.24,1400.00,-195.00,774.51,21.09,,34.92,,Poor ore,0,1,0.00,0.41,0.13,
3,Line#1,40.24,55.24,1400.00,-195.00,756.47,15,0.64,68.77,2.23,Rich ore,1,0,1.00,0.18,0.02,0.24
4,Line#1,55.24,70.24,1400.00,-195.00,741.47,15,0.52,68.65,1.96,Rich ore,1,0,1.00,0.24,0.01,0.28
5,Line#1,70.24,85.24,1400.00,-195.00,726.47,15,0.95,67.89,0.87,Rich ore,1,0,1.00,0.35,0.02,0.30
6,Line#1,85.24,100.89,1400.00,-195.00,711.14,15.65,0.76,67.92,0.92,Rich ore,1,0,1.00,0.42,0.02,0.36
7,Line#1,100.89,103.19,1400.00,-195.00,702.17,2.3,,,,,0,0,,,,
8,Line#1,103.19,118.24,1400.00,-195.00,693.50,15.05,1.63,64.36,-0.92,Rich ore,1,0,1.00,1.90,0.04,0.59
9,Line#1,118.24,133.24,1400.00,-195.00,678.47,15,15.40,28.95,,Poor ore,0,1,0.00,1.15,0.04,20.50
10,Line#1,133.24,144.46,1400.00,-195.00,665.36,11.22,,14.30,,Poor ore,0,1,0.00,0.46,0.01,
11,Line#2,0,15,1003.00,187.26,674.20,15,0.94,64.56,-0.87,Rich ore,1,0,1.00,0.09,0.26,0.54
12,Line#2,15,26.2322,1003.00,180.72,662.83,11.2322,0.89,65.63,-0.47,Rich ore,1,0,1.00,0.06,0.20,0.30
13,Line#2,26.2322,27.764,1003.00,177.54,657.30,1.53183,,,,,0,0,,,,
14,Line#2,27.764,33.5874,1003.00,175.71,654.11,5.82345,,,,Rich ore,1,0,1.00,,,
15,Line#2,33.5874,34.5909,1003.00,174.01,651.15,1.00344,,,,,0,0,,,,
16,Line#2,34.5909,42.6631,1003.00,171.74,647.22,8.0722,0.64,68.01,1.02,Rich ore,1,0,1.00,0.06,0.06,0.76
17,Line#2,42.6631,44.1279,1003.00,169.37,643.08,1.46485,,,,,0,0,,,,
18,Line#2,44.1279,49.4763,1003.00,167.67,640.13,5.34839,,,,Rich ore,1,0,1.00,,,
19,Line#2,49.4763,50.9995,1003.00,165.95,637.15,1.52315,,,,,0,0,,,,
20,Line#2,50.9995,54.6101,1003.00,164.67,634.93,3.61066,,,,Rich ore,1,0,1.00,,,
21,Line#2,54.6101,54.8074,1003.00,163.73,633.28,0.197231,,,,,0,0,,,,
22,Line#2,54.8074,61.0873,1003.00,162.11,630.47,6.27988,,,,Rich ore,1,0,1.00,,,
23,Line#2,61.0873,62.0907,1003.00,160.30,627.31,1.00344,,,,,0,0,,,,
24,Line#2,62.0907,68.2639,1003.00,158.51,624.20,6.17325,,,,Rich ore,1,0,1.00,,,
25,Line#2,68.2639,69.8764,1003.00,156.57,620.83,1.61245,,,,,0,0,,,,
26,Line#2,69.8764,89.4876,1003.00,151.28,611.63,19.6112,0.80,67.83,0.80,Rich ore,1,0,1.00,0.24,0.02,0.77
27,Line#2,89.4876,92.6282,1003.00,145.60,601.77,3.14059,,,,,0,0,,,,
28,Line#2,92.6282,94.263,1003.00,144.41,599.70,1.63478,,,,Rich ore,1,0,1.00,,,
29,Line#2,94.263,95.7861,1003.00,143.63,598.33,1.52315,,,,,0,0,,,,
30,Line#2,95.7861,102.147,1003.00,141.66,594.91,6.36052,,,,Rich ore,1,0,1.00,,,
31,Line#2,102.147,102.211,1003.00,140.06,592.13,0.064031,,,,,0,0,,,,
32,Line#2,102.211,103.778,1003.00,139.65,591.42,1.5678,,,,Rich ore,1,0,1.00,,,
33,Line#2,103.778,105.31,1003.00,138.88,590.08,1.53183,,,,,0,0,,,,
34,Line#2,105.31,120.31,1003.00,134.76,582.91,15,0.63,68.40,1.47,Rich ore,1,0,1.00,0.19,0.01,0.77
35,Line#2,120.31,133.513,1003.00,127.73,570.69,13.2031,0.63,67.30,0.37,Rich ore,1,0,1.00,0.20,0.01,1.26
36,Line#2,133.513,134.114,1003.00,124.29,564.71,0.600334,,,,,0,0,,,,
37,Line#2,134.114,152.045,1003.00,119.67,556.67,17.9318,2.11,66.60,-0.03,Rich ore,1,0,1.00,0.23,0.02,1.04
38,Line#2,152.045,153.577,1003.00,114.82,548.24,1.53183,,,,,0,0,,,,
39,Line#2,153.577,164.113,1003.00,111.81,543.01,10.5355,1.69,66.46,-0.13,Rich ore,1,0,1.00,0.59,0.02,0.49
40,Line#2,164.113,171.751,1003.00,107.28,535.13,7.6381,,,,,0,0,,,,
41,Line#3,0,1.7,1007.00,-193.00,774.84,1.7,,,,Rich ore,1,0,1.00,,,
42,Line#3,1.7,1.92,1007.00,-193.00,773.88,0.22,,,,,0,0,,,,
43,Line#3,1.92,4,1007.00,-193.00,772.73,2.08,,,,Rich ore,1,0,1.00,,,
44,Line#3,4,4.4,1007.00,-193.00,771.49,0.4,,,,,0,0,,,,
45,Line#3,4.4,19.68,1007.00,-193.00,763.65,15.28,1.83,67.08,0.23,Rich ore,1,0,1.00,0.08,0.02,0.30
46,Line#3,19.68,20.28,1007.00,-193.00,755.71,0.6,,,,,0,0,,,,
47,Line#3,20.28,35.28,1007.00,-193.00,747.91,15,1.47,67.33,0.40,Rich ore,1,0,1.00,0.10,0.02,0.60
48,Line#3,35.28,44.74,1007.00,-193.00,735.68,9.46,1.87,67.02,0.19,Rich ore,1,0,1.00,0.10,0.02,0.56
49,Line#3,44.74,50.09,1007.00,-193.00,728.28,5.35,,,,Poor ore,0,1,0.00,,,
50,Line#3,50.09,65.09,1007.00,-193.00,718.10,15,1.54,66.80,0.05,Rich ore,1,0,1.00,0.36,0.02,0.36
51,Line#3,65.09,80.09,1007.00,-193.00,703.10,15,0.83,68.40,1.48,Rich ore,1,0,1.00,0.09,0.02,0.41
52,Line#3,80.09,95.21,1007.00,-193.00,688.04,15.12,0.69,67.96,0.96,Rich ore,1,0,1.00,0.33,0.02,0.49
53,Line#3,95.21,95.71,1007.00,-193.00,680.23,0.5,,,,,0,0,,,,
54,Line#3,95.71,100.36,1007.00,-193.00,677.66,4.65,,,,Rich ore,1,0,1.00,,,
55,Line#3,100.36,101.36,1007.00,-193.00,674.83,1,,,,Poor ore,0,1,0.00,,,
56,Line#3,101.36,115.19,1007.00,-193.00,667.42,13.83,0.81,68.19,1.22,Rich ore,1,0,1.00,0.32,0.01,0.31
57,Line#3,115.19,116.69,1007.00,-193.00,659.75,1.5,,,,,0,0,,,,
58,Line#3,116.69,118.49,1007.00,-193.00,658.10,1.8,,,,Rich ore,1,0,1.00,,,
59,Line#3,118.49,119.64,1007.00,-193.00,656.63,1.15,,,,,0,0,,,,
60,Line#3,119.64,128.41,1007.00,-193.00,651.67,8.77,1.55,66.15,-0.25,Rich ore,1,0,1.00,0.42,0.02,1.63
61,Line#3,128.41,128.91,1007.00,-193.00,647.03,0.5,,,,,0,0,,,,
62,Line#3,128.91,130.52,1007.00,-193.00,645.98,1.61,,,,Rich ore,1,0,1.00,,,
63,Line#3,130.52,145.52,1007.00,-193.00,637.67,15,,20.23,,Poor ore,0,1,0.00,0.85,0.03,
64,Line#3,145.52,158.24,1007.00,-193.00,623.81,12.72,,10.20,,Poor ore,0,1,0.00,0.50,0.02,
65,Line#4,0,19.0691,1400.00,192.25,696.01,19.0691,0.73,66.09,-0.29,Rich ore,1,0,1.00,0.06,0.17,0.34
66,Line#4,19.0691,20.5786,1400.00,187.13,687.09,1.5095,,,,,0,0,,,,
67,Line#4,20.5786,35.4554,1400.00,183.05,679.98,14.8768,0.42,68.36,1.41,Rich ore,1,0,1.00,0.06,0.04,0.62
68,Line#4,35.4554,37.2651,1400.00,178.90,672.74,1.80967,,,,,0,0,,,,
69,Line#4,37.2651,52.2651,1400.00,174.72,665.45,15,0.32,68.61,1.87,Rich ore,1,0,1.00,0.08,0.01,0.79
70,Line#4,52.2651,67.2651,1400.00,167.25,652.44,15,0.54,68.15,1.13,Rich ore,1,0,1.00,0.08,0.01,1.18
71,Line#4,67.2651,82.2651,1400.00,159.79,639.44,15,0.49,68.16,1.18,Rich ore,1,0,1.00,0.09,0.02,1.31
72,Line#4,82.2651,92.0948,1400.00,153.61,628.67,9.82972,1.22,67.78,0.76,Rich ore,1,0,1.00,0.11,0.01,0.74
73,Line#4,92.0948,92.7038,1400.00,151.01,624.14,0.609016,,,,,0,0,,,,
74,Line#4,92.7038,101.587,1400.00,148.65,620.02,8.88341,1.08,67.46,0.49,Rich ore,1,0,1.00,0.14,0.02,0.85
75,Line#4,101.587,104.7,1400.00,145.66,614.82,3.11328,,,,,0,0,,,,
76,Line#4,104.7,124.289,1400.00,140.01,604.98,19.5888,0.55,67.89,0.87,Rich ore,1,0,1.00,0.08,0.02,1.50
77,Line#4,124.289,124.993,1400.00,134.96,596.18,0.703278,,,,,0,0,,,,
78,Line#4,124.993,137.19,1400.00,131.75,590.58,12.1976,0.72,66.51,-0.10,Rich ore,1,0,1.00,0.14,0.02,2.78
79,Line#4,137.19,152.19,1400.00,124.98,578.79,15,,15.33,,Poor ore,0,1,0.00,10.24,0.02,
80,Line#4,152.19,167.19,1400.00,117.51,565.78,15,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
81,Line#4,167.19,182.19,1400.00,110.05,552.77,15,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
82,Line#4,182.19,197.19,1400.00,102.58,539.76,15,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
83,Line#4,197.19,212.19,1400.00,95.11,526.75,15,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
84,Line#4,212.19,227.19,1400.00,87.65,513.74,15,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
85,Line#4,227.19,242.19,1400.00,80.18,500.73,15,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
86,Line#4,242.19,258.169,1400.00,72.47,487.30,15.9788,,9.40,,Poor ore,0,1,0.00,12.00,0.02,
87,Line#5,0,16.4422,1714.11,406.00,681.11,16.4422,1.69,65.48,-0.51,Rich ore,1,0,1.00,0.12,0.19,0.50
88,Line#5,16.4422,17.7372,1718.55,406.00,673.43,1.29495,,,,,0,0,,,,
89,Line#5,17.7372,32.7372,1722.62,406.00,666.37,15,0.82,67.72,0.69,Rich ore,1,0,1.00,0.15,0.04,0.70
90,Line#5,32.7372,47.7372,1730.12,406.00,653.38,15,0.61,67.81,0.79,Rich ore,1,0,1.00,0.22,0.03,0.67
91,Line#5,47.7372,62.7372,1737.62,406.00,640.39,15,0.45,68.17,1.19,Rich ore,1,0,1.00,0.29,0.03,0.63
92,Line#5,62.7372,77.7372,1745.12,406.00,627.40,15,1.29,66.76,0.04,Rich ore,1,0,1.00,0.23,0.02,1.35
93,Line#5,77.7372,97.4216,1753.79,406.00,612.39,19.6844,0.73,67.41,0.45,Rich ore,1,0,1.00,0.20,0.03,1.56
94,Line#5,97.4216,99.9172,1759.34,406.00,602.78,2.49562,,,,,0,0,,,,
95,Line#5,99.9172,110.437,1762.59,406.00,597.15,10.5195,0.70,67.96,0.95,Rich ore,1,0,1.00,0.15,0.02,1.16
96,Line#5,110.437,113.483,1765.98,406.00,591.27,3.04631,,,,,0,0,,,,
97,Line#5,113.483,119.478,1768.24,406.00,587.36,5.99468,,,,Rich ore,1,0,1.00,,,
98,Line#5,119.478,122.479,1770.49,406.00,583.46,3.00167,,,,,0,0,,,,
99,Line#5,122.479,126.673,1772.29,406.00,580.35,4.19368,,,,Rich ore,1,0,1.00,,,
100,Line#5,126.673,127.34,1773.51,406.00,578.24,0.667308,,,,Poor ore,0,1,0.00,,,
101,Line#5,127.34,144.858,1778.05,406.00,570.37,17.5176,1.03,67.65,0.63,Rich ore,1,0,1.00,0.13,0.02,1.12
102,Line#5,144.858,146.359,1782.81,406.00,562.13,1.50083,,,,,0,0,,,,
103,Line#5,146.359,161.058,1786.86,406.00,555.12,14.6995,0.65,68.39,1.46,Rich ore,1,0,1.00,0.17,0.02,0.70
104,Line#5,161.058,161.081,1790.54,406.00,548.74,0.022361,,,,,0,0,,,,
105,Line#5,161.081,169.96,1792.77,406.00,544.89,8.87974,1.44,66.20,-0.24,Rich ore,1,0,1.00,0.26,0.02,2.37
106,Line#5,169.96,174.924,1796.23,406.00,538.89,4.96391,,,,,0,0,,,,
107,Line#5,174.924,191.936,1801.72,406.00,529.38,17.0116,1.14,66.86,0.10,Rich ore,1,0,1.00,0.46,0.02,1.24
108,Line#5,191.936,193.437,1806.35,406.00,521.36,1.50083,,,,,0,0,,,,
109,Line#5,193.437,194.938,1807.10,406.00,520.06,1.50083,,,,Rich ore,1,0,1.00,,,
110,Line#5,194.938,196.438,1807.85,406.00,518.76,1.50083,,,,,0,0,,,,
111,Line#5,196.438,200.143,1809.15,406.00,516.51,3.70494,,,,Rich ore,1,0,1.00,,,
112,Line#5,200.143,203.042,1810.80,406.00,513.65,2.89872,,,,Poor ore,0,1,0.00,,,
113,Line#6,0,0.7,2098.00,800.00,726.27,0.7,,,,,0,0,,,,
114,Line#6,0.7,9.72,2098.00,800.00,721.41,9.02,0.83,65.25,-0.59,Rich ore,1,0,1.00,0.08,0.17,0.45
115,Line#6,9.72,14.15,2098.00,800.00,714.68,4.43,,,,,0,0,,,,
116,Line#6,14.15,35.8,2098.00,800.00,701.64,21.65,0.99,59.06,-1.73,Rich ore,1,0,1.00,3.10,0.07,0.74
117,Line#6,35.8,38.2,2098.00,800.00,689.62,2.4,,,,,0,0,,,,
118,Line#6,38.2,44.1,2098.00,800.00,685.47,5.9,,,,Rich ore,1,0,1.00,,,
119,Line#6,44.1,59.1,2098.00,800.00,675.02,15,,26.27,,Poor ore,0,1,0.00,3.35,0.07,
120,Line#6,59.1,74.1,2098.00,800.00,660.02,15,,20.56,,Poor ore,0,1,0.00,0.52,0.02,
121,Line#6,74.1,89.1,2098.00,800.00,645.02,15,,21.69,,Poor ore,0,1,0.00,0.59,0.02,
122,Line#6,89.1,104.1,2098.00,800.00,630.02,15,,16.70,,Poor ore,0,1,0.00,0.58,0.03,
123,Line#6,104.1,119.2,2098.00,800.00,614.97,15.1,,16.70,,Poor ore,0,1,0.00,0.58,0.03,
124,Line#7,0,17.9628,1402.00,580.53,631.24,17.9628,3.91,63.18,-1.14,Rich ore,1,0,1.00,0.08,0.13,0.42
125,Line#7,17.9628,27.867,1402.00,573.59,619.16,9.90419,,40.20,,Poor ore,0,1,0.00,0.11,0.12,
126,Line#7,27.867,38.8192,1402.00,568.39,610.12,10.9523,2.12,65.12,-0.65,Rich ore,1,0,1.00,0.07,0.06,0.45
127,Line#7,38.8192,54.5022,1402.00,561.76,598.57,15.683,,29.70,,Poor ore,0,1,0.00,0.10,0.06,
128,Line#7,54.5022,74.4049,1402.00,552.90,583.14,19.9027,1.84,64.28,-0.94,Rich ore,1,0,1.00,0.08,0.04,0.77
129,Line#7,74.4049,74.5575,1402.00,547.91,574.44,0.152643,,,,,0,0,,,,
130,Line#7,74.5575,75.2608,1402.00,547.69,574.07,0.703278,,,,Rich ore,1,0,1.00,,,
131,Line#7,75.2608,76.5954,1402.00,547.19,573.19,1.33462,,,,Poor ore,0,1,0.00,,,
132,Line#7,76.5954,88.3812,1402.00,543.92,567.50,11.7858,0.34,68.02,1.04,Rich ore,1,0,1.00,0.06,0.02,0.60
133,Line#7,88.3812,91.0331,1402.00,540.32,561.24,2.65187,,,,,0,0,,,,
134,Line#7,91.0331,92.5786,1402.00,539.28,559.42,1.54548,,,,Rich ore,1,0,1.00,,,
135,Line#7,92.5786,94.0881,1402.00,538.52,558.09,1.5095,,,,,0,0,,,,
136,Line#7,94.0881,108.387,1402.00,534.58,551.24,14.2988,0.61,65.83,-0.39,Rich ore,1,0,1.00,0.11,0.05,0.44
137,Line#7,108.387,111.083,1402.00,530.35,543.87,2.69652,,,,,0,0,,,,
138,Line#7,111.083,128.554,1402.00,525.33,535.13,17.4703,0.68,67.45,0.49,Rich ore,1,0,1.00,0.11,0.03,0.96
139,Line#7,128.554,130.561,1402.00,520.48,526.68,2.00689,,,,,0,0,,,,
140,Line#7,130.561,134.377,1402.00,519.03,524.16,3.81656,,,,Rich ore,1,0,1.00,,,
141,Line#7,134.377,135.345,1402.00,517.84,522.08,0.967471,,,,,0,0,,,,
142,Line#7,135.345,141.146,1402.00,516.15,519.15,5.80117,,,,Rich ore,1,0,1.00,,,
143,Line#7,141.146,143.762,1402.00,514.06,515.50,2.61589,,,,,0,0,,,,
144,Line#7,143.762,158.762,1402.00,509.67,507.86,15,0.86,67.59,0.57,Rich ore,1,0,1.00,0.11,0.01,1.23
145,Line#7,158.762,167.445,1402.00,503.77,497.59,8.68324,0.56,67.87,0.85,Rich ore,1,0,1.00,0.10,0.02,1.19
146,Line#7,167.445,170.594,1402.00,500.83,492.46,3.14925,,,,,0,0,,,,
147,Line#7,170.594,176.901,1402.00,498.47,488.36,6.30718,,,,Rich ore,1,0,1.00,,,
148,Line#7,176.901,180.059,1402.00,496.11,484.26,3.15793,,,,,0,0,,,,
149,Line#7,180.059,189.516,1402.00,492.97,478.79,9.45643,1.70,65.00,-0.72,Rich ore,1,0,1.00,0.17,0.02,2.30
150,Line#7,189.516,204.516,1402.00,486.91,468.17,15,,,,,0,0,,,,
151,Line#7,204.516,218.274,1402.00,479.82,455.66,13.7588,,,,,0,0,,,,
152,Line#7,218.274,219.318,1402.00,476.17,449.22,1.04317,,,,Rich ore,1,0,1.00,,,
153,Line#7,219.318,228.774,1402.00,473.56,444.67,9.45643,,,,,0,0,,,,
154,Line#7,228.774,231.937,1402.00,470.42,439.20,3.16291,,,,Rich ore,1,0,1.00,,,
155,Line#7,231.937,246.937,1402.00,465.89,431.32,15,,,,,0,0,,,,
156,Line#7,246.937,257.869,1402.00,459.43,420.08,10.932,,,,,0,0,,,,
157,Line#7,257.869,260.915,1402.00,455.95,414.02,3.04631,,,,Rich ore,1,0,1.00,,,
158,Line#7,260.915,261.363,1402.00,455.08,412.50,0.447772,,,,,0,0,,,,
159,Line#7,261.363,270.08,1402.00,452.80,408.53,8.71718,2.70,57.80,-1.85,Rich ore,1,0,1.00,6.14,0.03,0.90
160,Line#7,270.08,279.339,1402.00,448.32,400.74,9.25921,,18.96,,Poor ore,0,1,0.00,0.32,0.01,
161,Line#8,0,15,1800.00,1573.00,738.42,15,0.78,67.03,0.19,Rich ore,1,0,1.00,0.10,0.09,0.44
162,Line#8,15,30,1800.00,1573.00,723.42,15,0.80,67.29,0.37,Rich ore,1,0,1.00,0.10,0.07,0.31
163,Line#8,30,52.09,1800.00,1573.00,704.87,22.09,0.68,68.38,1.43,Rich ore,1,0,1.00,0.18,0.02,0.37
164,Line#8,52.09,52.63,1800.00,1573.00,693.56,0.54,,,,,0,0,,,,
165,Line#8,52.63,58.02,1800.00,1573.00,690.59,5.39,,,,Rich ore,1,0,1.00,,,
166,Line#8,58.02,58.57,1800.00,1573.00,687.62,0.55,,,,,0,0,,,,
167,Line#8,58.57,59.17,1800.00,1573.00,687.05,0.6,,,,Rich ore,1,0,1.00,,,
168,Line#8,59.17,60.97,1800.00,1573.00,685.85,1.8,,,,,0,0,,,,
169,Line#8,60.97,64.61,1800.00,1573.00,683.13,3.64,,,,Rich ore,1,0,1.00,,,
170,Line#8,64.61,66.13,1800.00,1573.00,680.55,1.52,,,,,0,0,,,,
171,Line#8,66.13,67.63,1800.00,1573.00,679.04,1.5,,,,Rich ore,1,0,1.00,,,
172,Line#8,67.63,70.75,1800.00,1573.00,676.73,3.12,,,,,0,0,,,,
173,Line#8,70.75,77.87,1800.00,1573.00,671.61,7.12,,,,Rich ore,1,0,1.00,,,
174,Line#8,77.87,92.87,1800.00,1573.00,660.55,15,,,,Poor ore,0,1,0.00,,,
175,Line#8,92.87,105.31,1800.00,1573.00,646.83,12.44,,,,Poor ore,0,1,0.00,,,
176,Line#9,0,17.05,1802.00,2368.00,691.06,17.05,0.69,65.77,-0.42,Rich ore,1,0,1.00,0.09,0.12,0.55
177,Line#9,17.05,21.42,1802.00,2368.00,680.35,4.37,,,,,0,0,,,,
178,Line#9,21.42,36.42,1802.00,2368.00,670.66,15,0.86,65.91,-0.34,Rich ore,1,0,1.00,0.10,0.11,0.55
179,Line#9,36.42,48.54,1802.00,2368.00,657.10,12.12,0.62,66.44,-0.15,Rich ore,1,0,1.00,0.08,0.05,0.64
180,Line#9,48.54,51.69,1802.00,2368.00,649.47,3.15,,,,Poor ore,0,1,0.00,,,
181,Line#9,51.69,66.69,1802.00,2368.00,640.39,15,0.58,65.88,-0.37,Rich ore,1,0,1.00,0.67,0.03,0.83
182,Line#9,66.69,76.05,1802.00,2368.00,628.21,9.36,0.42,67.58,0.57,Rich ore,1,0,1.00,0.14,0.02,0.66
183,Line#9,76.05,79.3,1802.00,2368.00,621.91,3.25,,,,,0,0,,,,
184,Line#9,79.3,101.1,1802.00,2368.00,609.38,21.8,0.43,66.89,0.12,Rich ore,1,0,1.00,0.09,0.03,0.90
185,Line#9,101.1,105.2,1802.00,2368.00,596.43,4.1,,,,,0,0,,,,
186,Line#9,105.2,109.7,1802.00,2368.00,592.13,4.5,,,,Rich ore,1,0,1.00,,,
187,Line#9,109.7,114.5,1802.00,2368.00,587.48,4.8,,,,,0,0,,,,
188,Line#9,114.5,117.58,1802.00,2368.00,583.54,3.08,,,,Rich ore,1,0,1.00,,,
189,Line#9,117.58,119.06,1802.00,2368.00,581.26,1.48,,,,,0,0,,,,
190,Line#9,119.06,120.5,1802.00,2368.00,579.80,1.44,,,,Rich ore,1,0,1.00,,,
191,Line#9,120.5,121.76,1802.00,2368.00,578.45,1.26,,,,,0,0,,,,
192,Line#9,121.76,122.76,1802.00,2368.00,577.32,1,,,,Rich ore,1,0,1.00,,,
193,Line#9,122.76,124.98,1802.00,2368.00,575.71,2.22,,,,Poor ore,0,1,0.00,,,
194,Line#9,124.98,132.01,1802.00,2368.00,571.09,7.03,,,,Rich ore,1,0,1.00,,,
195,Line#9,132.01,134.21,1802.00,2368.00,566.47,2.2,,,,,0,0,,,,
196,Line#9,134.21,135.71,1802.00,2368.00,564.62,1.5,,,,Rich ore,1,0,1.00,,,
197,Line#9,135.71,136.71,1802.00,2368.00,563.37,1,,,,,0,0,,,,
198,Line#9,136.71,140.99,1802.00,2368.00,560.73,4.28,,,,Rich ore,1,0,1.00,,,
199,Line#9,140.99,143.29,1802.00,2368.00,557.44,2.3,,,,,0,0,,,,
200,Line#9,143.29,145.99,1802.00,2368.00,554.94,2.7,,,,Rich ore,1,0,1.00,,,
201,Line#9,145.99,147.39,1802.00,2368.00,552.89,1.4,,,,,0,0,,,,
202,Line#9,147.39,148.48,1802.00,2368.00,551.65,1.09,,,,Rich ore,1,0,1.00,,,
203,Line#9,148.48,150.28,1802.00,2368.00,550.20,1.8,,,,,0,0,,,,
204,Line#9,150.28,159.4,1802.00,2368.00,544.74,9.12,0.50,65.20,-0.61,Rich ore,1,0,1.00,1.64,0.03,0.71
205,Line#9,159.4,161.76,1802.00,2368.00,539.00,2.36,,,,Poor ore,0,1,0.00,,,
206,Line#9,161.76,162.36,1802.00,2368.00,537.52,0.6,,,,,0,0,,,,
207,Line#9,162.36,168.54,1802.00,2368.00,534.13,6.18,,,,Poor ore,0,1,0.00,,,
208,Line#9,168.54,170.04,1802.00,2368.00,530.29,1.5,,,,,0,0,,,,
209,Line#9,170.04,171.54,1802.00,2368.00,528.79,1.5,,,,Poor ore,0,1,0.00,,,
210,Line#9,171.54,172.14,1802.00,2368.00,527.74,0.6,,,,,0,0,,,,
211,Line#9,172.14,175.02,1802.00,2368.00,526.00,2.88,,,,Poor ore,0,1,0.00,,,
212,Line#10,0,8.43934,1505.00,2968.90,663.05,8.43934,1.03,65.22,-0.60,Rich ore,1,0,1.00,0.07,0.18,0.42
213,Line#10,8.43934,9.14261,1505.00,2966.63,659.08,0.703278,,,,,0,0,,,,
214,Line#10,9.14261,12.8562,1505.00,2965.53,657.17,3.71362,,,,Rich ore,1,0,1.00,,,
215,Line#10,12.8562,13.304,1505.00,2964.50,655.36,0.447772,,,,,0,0,,,,
216,Line#10,13.304,17.479,1505.00,2963.35,653.36,4.17502,,,,Rich ore,1,0,1.00,,,
217,Line#10,17.479,18.8273,1505.00,2961.97,650.96,1.34826,,,,,0,0,,,,
218,Line#10,18.8273,19.9833,1505.00,2961.35,649.87,1.15603,,,,Rich ore,1,0,1.00,,,
219,Line#10,19.9833,20.3369,1505.00,2960.98,649.22,0.353553,,,,,0,0,,,,
220,Line#10,20.3369,21.8377,1505.00,2960.52,648.41,1.50083,,,,Rich ore,1,0,1.00,,,
221,Line#10,21.8377,23.2219,1505.00,2959.80,647.16,1.38423,,,,,0,0,,,,
222,Line#10,23.2219,25.2375,1505.00,2958.95,645.69,2.01556,,,,Rich ore,1,0,1.00,,,
223,Line#10,25.2375,25.8738,1505.00,2958.29,644.54,0.636318,,,,,0,0,,,,
224,Line#10,25.8738,26.7247,1505.00,2957.92,643.89,0.850882,,,,Rich ore,1,0,1.00,,,
225,Line#10,26.7247,27.3697,1505.00,2957.55,643.24,0.644981,,,,,0,0,,,,
226,Line#10,27.3697,27.8671,1505.00,2957.27,642.75,0.497393,,,,Rich ore,1,0,1.00,,,
227,Line#10,27.8671,28.9735,1505.00,2956.87,642.05,1.10639,,,,,0,0,,,,
228,Line#10,28.9735,31.3835,1505.00,2955.99,640.53,2.41,,,,Rich ore,1,0,1.00,,,
229,Line#10,31.3835,32.1364,1505.00,2955.21,639.15,0.752928,,,,,0,0,,,,
230,Line#10,32.1364,34.1966,1505.00,2954.51,637.93,2.06022,,,,Rich ore,1,0,1.00,,,
231,Line#10,34.1966,35.2,1505.00,2953.75,636.60,1.00344,,,,,0,0,,,,
232,Line#10,35.2,35.953,1505.00,2953.31,635.84,0.752928,,,,Rich ore,1,0,1.00,,,
233,Line#10,35.953,36.6067,1505.00,2952.96,635.23,0.653682,,,,,0,0,,,,
234,Line#10,36.6067,38.6272,1505.00,2952.30,634.07,2.02054,,,,Rich ore,1,0,1.00,,,
235,Line#10,38.6272,39.2275,1505.00,2951.64,632.94,0.600333,,,,,0,0,,,,
236,Line#10,39.2275,39.7336,1505.00,2951.37,632.46,0.506063,,,,Rich ore,1,0,1.00,,,
237,Line#10,39.7336,40.3786,1505.00,2951.08,631.96,0.644981,,,,,0,0,,,,
238,Line#10,40.3786,41.7405,1505.00,2950.58,631.09,1.36192,,,,Rich ore,1,0,1.00,,,
239,Line#10,41.7405,43.25,1505.00,2949.87,629.84,1.5095,,,,,0,0,,,,
240,Line#10,43.25,44.8848,1505.00,2949.09,628.48,1.63478,,,,Rich ore,1,0,1.00,,,
241,Line#10,44.8848,45.6823,1505.00,2948.48,627.42,0.797559,,,,,0,0,,,,
242,Line#10,45.6823,47.9175,1505.00,2947.73,626.11,2.23511,,,,Rich ore,1,0,1.00,,,
243,Line#10,47.9175,48.7733,1505.00,2946.96,624.76,0.855862,,,,,0,0,,,,
244,Line#10,48.7733,50.2741,1505.00,2946.38,623.74,1.50083,,,,Rich ore,1,0,1.00,,,
245,Line#10,50.2741,50.9997,1505.00,2945.82,622.78,0.725603,,,,,0,0,,,,
246,Line#10,50.9997,71.2783,1505.00,2940.60,613.66,20.2785,0.67,67.21,0.30,Rich ore,1,0,1.00,0.08,0.04,0.64
247,Line#10,71.2783,75.0279,1505.00,2934.63,603.24,3.74959,,,,,0,0,,,,
248,Line#10,75.0279,78.8717,1505.00,2932.74,599.95,3.84387,,,,Rich ore,1,0,1.00,,,
